,fold,train_time,train_mae,train_mse,train_rmse,train_r2,test_mae,test_mse,test_rmse,test_r2
0,1,0.04173707962036133,0.03175144409726724,0.00168702361171494,0.04107339299004819,0.9481448645508653,0.0325034789301154,0.0018777896359720775,0.043333470158436166,0.9472733046243471
1,2,0.0012278556823730469,0.03170662644851952,0.0016866871017781305,0.04106929633896995,0.9483553361349344,0.03395671048154601,0.0018838377530074665,0.04340319980148315,0.9437252887332205
2,3,0.0013420581817626953,0.031817055739762526,0.001693417642352811,0.041151156026930896,0.9481949580578789,0.03215582616136365,0.0017559915997492532,0.041904553448870605,0.9466513137631851
3,4,0.0011382102966308594,0.03188910350123281,0.0017031536714263332,0.04126928241957126,0.9479005656346833,0.030991570862299245,0.001570163458950375,0.039625288124509266,0.9522092107222945
4,5,0.001070261001586914,0.03181846049865035,0.0016976175914157588,0.04120215517925924,0.9480427155319653,0.03214695579564882,0.0016751946281472006,0.040929141551554686,0.9495620390948981
5,6,0.0014331340789794922,0.031771955040615,0.0016899720365230297,0.04110926947201847,0.9483036921870917,0.03305539110745871,0.0018202539198644313,0.04266443389832369,0.9446544635337253
6,7,0.0030663013458251953,0.03182314465311507,0.001693690526008977,0.04115447151900965,0.9481141629316895,0.031871696789150146,0.0017502444415336044,0.0418359228598295,0.9482046524957339
7,8,0.0010488033294677734,0.031753672315816404,0.0016905126380653687,0.04111584412444148,0.9483127803810426,0.033264310504642354,0.00180995865944691,0.04254360891422953,0.9444188688861453
8,9,0.0010368824005126953,0.03186567196381102,0.0016977733032910048,0.04120404474430884,0.948068158031561,0.031649663293088326,0.0016731575911185246,0.04090424905946233,0.9490683970681586
9,10,0.0018110275268554688,0.03184017856863201,0.0016955355485219505,0.041176881238407924,0.9482318141373769,0.03212871706429264,0.00171531065938827,0.04141630909905263,0.9457752477476581
10,11,0.0007998943328857422,0.03203884634592161,0.0017152640820038874,0.04141574678795358,0.9478880996450951,0.02944972715976864,0.0013417911316135698,0.03663046725901227,0.9531184028319606
11,12,0.0013380050659179688,0.03183866370890753,0.001696531534857112,0.04118897346204579,0.9481461027787479,0.03198554477263049,0.001695699561292058,0.04117887275402349,0.9475974044178427
12,13,0.0007929801940917969,0.031820208433696553,0.0016990980018740415,0.04122011647089369,0.9479736504185216,0.03185964510493139,0.0016469493821184085,0.040582624140368354,0.950826659828028
13,14,0.0008630752563476562,0.031870561701345924,0.0016994350156708854,0.04122420424545373,0.9479169143246099,0.031067505568457925,0.0016418110757091418,0.040519267956234624,0.9515689317367657
14,15,0.0009191036224365234,0.032005091385727366,0.0017099063930695413,0.041351014414032716,0.9479314863538076,0.02956463885686206,0.001442160799344357,0.037975792280666866,0.9520129203721095
15,16,0.0008919239044189453,0.03180920354323933,0.0016978723369863106,0.04120524647403909,0.9479266117851783,0.031687430261684316,0.0016704759030541085,0.040871455847010255,0.9514104604506338
16,17,0.0008509159088134766,0.03178268476581493,0.0016833732099494803,0.0410289313771329,0.9484746492307927,0.03247977805871341,0.001947482480621141,0.04413028983160139,0.9413018330590911
17,18,0.001004934310913086,0.03175887072962212,0.0016872804775260105,0.041076519783521226,0.9484003699558369,0.03343274801983658,0.001871466937778942,0.04326045466449633,0.9427517223120493
18,19,0.0008540153503417969,0.03291433892382498,0.0018083936213621427,0.04252521159691205,0.9481018120897439,0.03218524328631084,0.0018206702926487483,0.04266931324322842,0.9484297956380053
19,20,0.001316070556640625,0.03208025432905607,0.0017230760291090913,0.041509950964908296,0.9480022592830873,0.03074181654250505,0.0014770349632815733,0.038432212573329336,0.9505671164143414
